x,y,block
20.47,-0.19875,-1.2837143648763686e-06
20.4725,-0.19875,-1.3295342115266724e-06
20.475,-0.19875,-1.3757095587471188e-06
20.4775,-0.19875,-1.4221833035001327e-06
20.48,-0.19875,-1.4688960855892945e-06
20.4825,-0.19875,-1.5157863116510545e-06
20.485,-0.19875,-1.5627901817244666e-06
20.4875,-0.19875,-1.6098417183730606e-06
20.49,-0.19875,-1.6568727983542986e-06
20.4925,-0.19875,-1.70381318682019e-06
20.495,-0.19875,-1.7505905740399365e-06
20.4975,-0.19875,-1.7971306146041016e-06
20.5,-0.19875,-1.843356969136646e-06
20.0,-0.1975,-2.594117030733739e-05
20.0025,-0.1975,-2.5015442097594255e-05
20.005,-0.1975,-2.4113288535184987e-05
20.0075,-0.1975,-2.3234429255769295e-05
20.01,-0.1975,-2.2378577384134107e-05
20.0125,-0.1975,-2.1545439910060905e-05
20.015,-0.1975,-2.0734718058004666e-05
20.0175,-0.1975,-1.9946107650495894e-05
20.02,-0.1975,-1.9179299465275298e-05
20.0225,-0.1975,-1.8433979586124942e-05
20.025,-0.1975,-1.7709829747389794e-05
20.0275,-0.1975,-1.7006527672171565e-05
20.03,-0.1975,-1.6323747404158413e-05
20.0325,-0.1975,-1.566115963313862e-05
20.035,-0.1975,-1.5018432014088412e-05
20.0375,-0.1975,-1.4395229479963037e-05
20.04,-0.1975,-1.379121454804736e-05
20.0425,-0.1975,-1.3206047619956676e-05
20.045,-0.1975,-1.263938727523758e-05
20.0475,-0.1975,-1.2090890558630393e-05
20.05,-0.1975,-1.156021326088587e-05
20.0525,-0.1975,-1.1047010193269634e-05
20.055,-0.1975,-1.055093545565905e-05
20.0575,-0.1975,-1.0071642698314389e-05
20.06,-0.1975,-9.608785377279345e-06
20.0625,-0.1975,-9.162017003453482e-06
20.065,-0.1975,-8.730991385354602e-06
20.0675,-0.1975,-8.31536286555538e-06
20.07,-0.1975,-7.914786550860328e-06
20.0725,-0.1975,-7.528918536195545e-06
20.075,-0.1975,-7.1574161222688916e-06
20.0775,-0.1975,-6.799938026996025e-06
20.08,-0.1975,-6.456144590745647e-06
20.0825,-0.1975,-6.125697975402308e-06
20.085,-0.1975,-5.8082623572993e-06
20.0875,-0.1975,-5.503504114046194e-06
20.09,-0.1975,-5.211092005253964e-06
20.0925,-0.1975,-4.9306973472504235e-06
20.095,-0.1975,-4.661994181769732e-06
20.0975,-0.1975,-4.4046594386638e-06
20.1,-0.1975,-4.158373092701167e-06
20.1025,-0.1975,-3.922818314455972e-06
20.105,-0.1975,-3.6976816153499166e-06
20.1075,-0.1975,-3.4826529868983712e-06
20.11,-0.1975,-3.2774260341636577e-06
20.1125,-0.1975,-3.081698103539532e-06
20.115,-0.1975,-2.895170404810755e-06
20.1175,-0.1975,-2.717548127630534e-06
20.12,-0.1975,-2.5485405524142194e-06
20.1225,-0.1975,-2.3878611557080025e-06
20.125,-0.1975,-2.2352277101049115e-06
