sigma,corrupt,suspect,suspect_correct,state_one,state_hist_ls,state_hist_rob,state_repaired,E_one,E_hist_ls,E_hist_rob,E_repaired,A_one,A_hist_ls,A_hist_rob,A_repaired,max_channel_residual,O5_residual
0.05,True,O5,True,0.22548434143234516,0.05587878720037667,0.03824734293731844,0.022909092370774424,0.11901607538165251,0.01780228975206029,0.004892155414082341,0.004017099599901496,0.09733671635699084,0.020663634093831297,0.014998543780494231,0.012729503658119595,0.29115233947123287,0.29115233947123287
0.05,True,O5,True,0.06713965402346206,0.037422305208110095,0.020874968521667,0.019093126919161832,0.0015331935598028063,0.007309247392908423,0.0004119892751082675,0.004240355350983447,0.04132771971525152,0.01315320782556907,0.002672651097139987,0.0044967871381472145,0.30047128739275486,0.30047128739275486
0.05,True,O5,True,0.10972876732743331,0.11269108670563575,0.06034259372239598,0.022467083419552253,0.07668482719203715,0.0067175632177775115,0.0020471806101328535,0.005064538500139818,0.09311718686696113,0.016390916659288005,0.0015993271411675913,0.0045752541448218255,0.29971893265269184,0.29971893265269184
0.05,True,O5,True,0.14603888218511948,0.06924978851572344,0.025036563034509317,0.017199375390275877,0.04176218203176456,0.016188427378918513,0.012870091202700997,0.018998233190524145,0.05279021507272663,0.022150174392319887,0.014141678151030412,0.01931225436264455,0.31399266154739275,0.31399266154739275
0.05,True,O5,True,0.07490136407269843,0.0529547525514415,0.025907722647744897,0.03641871048475179,0.0432661641802395,0.041248913914640375,0.03165492375550479,0.05413748863047337,0.16287889447322448,0.07754745911872131,0.060330183473307916,0.07191151632984824,0.33682294905088017,0.33682294905088017
0.05,True,O5,True,0.17506975102720818,0.09471662668888967,0.04986706442547762,0.02097238680607911,0.026689287499215366,0.01353095101847861,0.010046090183617117,0.006716020731200478,0.0769939283533837,0.013558223015617443,0.010253763975239812,0.006904755902130393,0.27404003377247066,0.27404003377247066
0.05,True,O5,True,0.20374917159561687,0.08259185204835086,0.0341413144002287,0.025746211890230648,0.025725984241027604,0.026562020946745618,0.017087855787438738,0.010226289091630304,0.15136938938790762,0.07094181358655596,0.027954091916785398,0.014061167720857196,0.3265948818951224,0.3265948818951224
0.05,True,O5,True,0.21007238169727946,0.07456715202310192,0.03254560953435049,0.022274998570189296,0.029408223193047933,0.02395745505068097,0.006682226155044941,4.099352600077263e-05,0.03668354269240117,0.09008653024442902,0.0450572816106765,0.023592760733234217,0.3049710160566077,0.3049710160566077
0.05,True,O5,True,0.07129685021825116,0.04619081025606787,0.0284185613504611,0.026148528293802483,0.03675782828413845,0.022199866794725118,0.016602112703336613,0.014634749032372727,0.055590610660489155,0.035213380704133476,0.026939420044891343,0.0234992074104882,0.3178465651137149,0.3178465651137149
0.05,True,O5,True,0.12381484726032772,0.10058289297598659,0.048213037807488215,0.02138790136750658,0.024386692529585977,2.2202128379077207e-05,0.003912451930217801,0.002011739563605768,0.09036635643483246,0.021500490155651714,0.012158281864971409,0.005574929597035602,0.2761027038136382,0.2761027038136382
