s,round8_attack_deficit,round9_seed_deficit
1.319999999999999993e-02,0.000000000000000000e+00,2.481563523761331352e-02
1.340000000000000045e-02,0.000000000000000000e+00,2.490490633183256239e-02
1.360000000000000098e-02,0.000000000000000000e+00,2.499366376466864714e-02
1.380000000000000150e-02,0.000000000000000000e+00,2.508183814990501415e-02
1.400000000000000029e-02,0.000000000000000000e+00,2.516950657532534413e-02
1.420000000000000082e-02,0.000000000000000000e+00,2.525663846005829494e-02
1.440000000000000134e-02,0.000000000000000000e+00,2.534317911038664120e-02
1.460000000000000013e-02,0.000000000000000000e+00,2.542922167189085036e-02
1.480000000000000066e-02,0.000000000000000000e+00,2.551470356259921690e-02
1.500000000000000118e-02,0.000000000000000000e+00,2.559958627436090955e-02
1.519999999999999997e-02,0.000000000000000000e+00,2.568398053798259459e-02
1.540000000000000049e-02,0.000000000000000000e+00,2.576778879010385714e-02
1.560000000000000102e-02,0.000000000000000000e+00,2.585099094735281156e-02
1.580000000000000154e-02,0.000000000000000000e+00,2.593371453809855884e-02
1.600000000000000033e-02,0.000000000000000000e+00,2.601582636939154397e-02
1.619999999999999912e-02,0.000000000000000000e+00,2.609734515954039227e-02
1.640000000000000138e-02,0.000000000000000000e+00,2.617835767017251403e-02
1.660000000000000017e-02,0.000000000000000000e+00,2.625875122143269541e-02
1.680000000000000243e-02,0.000000000000000000e+00,2.633856651196102294e-02
1.700000000000000122e-02,0.000000000000000000e+00,2.641784674983272546e-02
1.720000000000000001e-02,0.000000000000000000e+00,2.649650114504709802e-02
1.740000000000000227e-02,0.000000000000000000e+00,2.657459379738053712e-02
1.760000000000000106e-02,0.000000000000000000e+00,2.665212159256958452e-02
1.779999999999999985e-02,0.000000000000000000e+00,2.672901699818442528e-02
1.800000000000000211e-02,0.000000000000000000e+00,2.680536892901684218e-02
1.820000000000000090e-02,0.000000000000000000e+00,2.688112519281813523e-02
1.839999999999999969e-02,0.000000000000000000e+00,2.695624287578393674e-02
1.860000000000000195e-02,0.000000000000000000e+00,2.703083711696954022e-02
1.880000000000000074e-02,0.000000000000000000e+00,2.710480389893717840e-02
1.899999999999999953e-02,0.000000000000000000e+00,2.717813849763798043e-02
1.920000000000000179e-02,0.000000000000000000e+00,2.725094703985437433e-02
1.940000000000000058e-02,0.000000000000000000e+00,2.732310758304554860e-02
1.959999999999999937e-02,0.000000000000000000e+00,2.739465906299177328e-02
1.980000000000000163e-02,0.000000000000000000e+00,2.746565101059451203e-02
2.000000000000000042e-02,0.000000000000000000e+00,2.753598980466821083e-02
2.020000000000000268e-02,0.000000000000000000e+00,2.760574441612241581e-02
2.040000000000000147e-02,0.000000000000000000e+00,2.767490513532202753e-02
2.060000000000000026e-02,0.000000000000000000e+00,2.774340796714378637e-02
2.080000000000000251e-02,0.000000000000000000e+00,2.781135327803975835e-02
