phi,z
4.031710572106900869e+00,2.166182377501582323e-01
4.040437218366872862e+00,2.152766693853817859e-01
4.049163864626844855e+00,2.139343933683164056e-01
4.057890510886815960e+00,2.125984629764418321e-01
4.066617157146787953e+00,2.112664592272836261e-01
4.075343803406759058e+00,2.099342823727577134e-01
4.084070449666731051e+00,2.086092728609362790e-01
4.092797095926703044e+00,2.072881066543869333e-01
4.101523742186674149e+00,2.059738928902678790e-01
4.110250388446646141e+00,2.046637526204783952e-01
4.118977034706618134e+00,2.033545010539856701e-01
4.127703680966589239e+00,2.020525014884428094e-01
4.136430327226561232e+00,2.007546448897345737e-01
4.145156973486532337e+00,1.994611303740653763e-01
4.153883619746504330e+00,1.981764475754953791e-01
4.162610266006476323e+00,1.968937041997075310e-01
4.171336912266447428e+00,1.956188032153447220e-01
4.180063558526419421e+00,1.943481752130393758e-01
4.188790204786390525e+00,1.930814687563344734e-01
4.197516851046362518e+00,1.918257668096964852e-01
4.206243497306334511e+00,1.905730422924012124e-01
4.214970143566305616e+00,1.893287375764560465e-01
4.223696789826277609e+00,1.880888226110509764e-01
4.232423436086248714e+00,1.868557581438552717e-01
4.241150082346220707e+00,1.856324801613741804e-01
4.249876728606192700e+00,1.844132033129807502e-01
4.258603374866163804e+00,1.832029091126710363e-01
4.267330021126135797e+00,1.819971066083827804e-01
4.276056667386107790e+00,1.808043452593871836e-01
4.284783313646078895e+00,1.796168446474719071e-01
4.293509959906050888e+00,1.784343530228788000e-01
4.302236606166021993e+00,1.772629771240255281e-01
4.310963252425993986e+00,1.761000986683114167e-01
4.319689898685965979e+00,1.749470164620422763e-01
4.328416544945937083e+00,1.737985477298398806e-01
4.337143191205909076e+00,1.726629526919750413e-01
4.345869837465880181e+00,1.715351869880754332e-01
4.354596483725852174e+00,1.704139090477425345e-01
4.363323129985824167e+00,1.693051705669421647e-01
4.372049776245795272e+00,1.682058515677772592e-01
4.380776422505767265e+00,1.671171011753477542e-01
4.389503068765738369e+00,1.660340965066576524e-01
4.398229715025710362e+00,1.649683051468603390e-01
4.406956361285682355e+00,1.639072238060294839e-01
4.415683007545653460e+00,1.628586896151939523e-01
4.424409653805625453e+00,1.618213103592453794e-01
4.433136300065597446e+00,1.607923214399289424e-01
4.441862946325568551e+00,1.597773741755421362e-01
4.450589592585540544e+00,1.587732596533352747e-01
4.459316238845511648e+00,1.577806712000827394e-01
4.468042885105483641e+00,1.567988846503811096e-01
4.476769531365455634e+00,1.558320835328681209e-01
4.485496177625426739e+00,1.548711519614375809e-01
4.494222823885398732e+00,1.539308023868695696e-01
4.502949470145369837e+00,1.529951622663053568e-01
4.511676116405341830e+00,1.520787144314470762e-01
4.520402762665313823e+00,1.511701541077042910e-01
4.529129408925284928e+00,1.502776537562307280e-01
4.537856055185256920e+00,1.493967945730954316e-01
4.546582701445228913e+00,1.485270098698891483e-01
4.555309347705200018e+00,1.476360657099647922e-01
4.564035993965172011e+00,1.467138255784066481e-01
4.572762640225143116e+00,1.457603568397488891e-01
4.581489286485115109e+00,1.447757293945697576e-01
4.590215932745087102e+00,1.437600156778405802e-01
4.598942579005058207e+00,1.427132906570579007e-01
4.607669225265030200e+00,1.416356309770288591e-01
4.616395871525001304e+00,1.405271173929795447e-01
4.625122517784973297e+00,1.393878324572542793e-01
4.633849164044945290e+00,1.382178611675946023e-01
4.642575810304916395e+00,1.370172899091939289e-01
4.651302456564888388e+00,1.357862099226354036e-01
4.660029102824859493e+00,1.345247134241882025e-01
4.668755749084831486e+00,1.332328945637151485e-01
4.677482395344803479e+00,1.319108521802129508e-01
4.686209041604774583e+00,1.305586844179371930e-01
4.694935687864746576e+00,1.291764956090236116e-01
4.703662334124718569e+00,1.277643885708322768e-01
4.712388980384689674e+00,1.263224723659311377e-01
4.721115626644661667e+00,1.248508557848609091e-01
4.729842272904632772e+00,1.233496510543619779e-01
4.738568919164604765e+00,1.218353287481463709e-01
4.747295565424576758e+00,1.203046510697681343e-01
4.756022211684547862e+00,1.187446172990338500e-01
4.764748857944519855e+00,1.171553460528731300e-01
4.773475504204490960e+00,1.155369600591235474e-01
4.782202150464462953e+00,1.139042116956745371e-01
